,filename,errors count,good words count,metric,Levenshtein,
3,skazki/IMG_20190715_121058.marked.txt,31,93,0.25,76,0.612903225806452
196,telefon/IMG_20190715_123156.marked.txt,9,26,0.25714,6,0.171428571428571
98,skazki/IMG_20190715_122217.marked.txt,20,56,0.26316,153,2.01315789473684
173,telefon/IMG_20190715_123303.marked.txt,12,33,0.26667,26,0.577777777777778
180,telefon/IMG_20190715_123336.marked.txt,12,31,0.27907,27,0.627906976744186
38,skazki/IMG_20190715_121436.marked.txt,31,78,0.2844,87,0.798165137614679
188,telefon/IMG_20190715_123250.marked.txt,12,29,0.29268,25,0.609756097560976
162,uploaded/15662143454241346711394.marked.txt,16,37,0.30189,108,2.0377358490566
199,mdd-redmi1/02.marked.txt,10,23,0.30303,1,0.03030303030303
209,chudo_derevo_redmi/IMG_20190715_112912.marked.txt,5,10,0.33333,2,0.133333333333333
48,skazki/IMG_20190715_121114.marked.txt,39,73,0.34821,47,0.419642857142857
208,skazki/IMG_20190715_121011.marked.txt,6,11,0.35294,6,0.352941176470588
201,mdd_cannon1/02.marked.txt,12,22,0.35294,10,0.294117647058823
206,telefon/IMG_20190715_123542.marked.txt,11,20,0.35484,66,2.12903225806452
211,mdd_cannon1/01crop.marked.txt,4,7,0.36364,3,0.272727272727273
210,mdd-redmi1/01crop.marked.txt,4,7,0.36364,5,0.454545454545455
192,telefon/IMG_20190715_123312.marked.txt,19,28,0.40426,34,0.723404255319149
205,telefon/IMG_20190715_123244.marked.txt,15,21,0.41667,28,0.777777777777778
203,telefon/IMG_20190715_123443.marked.txt,16,22,0.42105,52,1.36842105263158
167,skazki/IMG_20190715_121019.marked.txt,26,35,0.42623,14,0.229508196721311
186,uploaded/IMG_20190731_131541.marked.txt,23,29,0.44231,38,0.730769230769231
207,skazki/IMG_20190715_121126.marked.txt,18,19,0.48649,18,0.486486486486487
